employee_id,name,department,salary_level,actual_salary,turnover,satisfaction,evaluation,project_count,average_monthly_hours,years_at_company,work_accident,promotion,last_updated
10394,黄丽丽,行政部,high,211000,0,0.72,0.82,2,125,0,0,0,2025-05-02 12:05:41
83839,赵霞,销售部,medium,192000,0,0.74,0.57,2,119,1,0,0,2025-05-02 12:05:41
92217,王建平,人力资源部,medium,304000,0,0.72,0.8,4,134,2,0,0,2025-05-02 12:05:41
4643,赵凤兰,研发部,medium,231000,0,0.43,0.88,4,117,0,1,0,2025-05-02 12:05:41
8002,陈军,法务部,low,225000,0,0.69,0.57,3,269,10,0,0,2025-05-02 12:05:41
19328,徐佳,人力资源部,low,400000,0,0.91,0.98,6,255,7,0,0,2025-05-02 12:05:41
4138,王桂英,市场部,low,327000,0,0.93,0.85,2,106,1,0,0,2025-05-02 12:05:41
69653,李峰,人力资源部,low,200000,0,0.66,0.44,5,263,2,1,0,2025-05-02 12:05:41
42322,黄雪梅,研发部,medium,319000,0,0.65,0.48,1,258,3,0,0,2025-05-02 12:05:41
44213,骆桂珍,销售部,medium,218000,0,0.66,0.43,4,255,1,1,0,2025-05-02 12:05:41
37999,刘林,行政部,low,317000,0,0.8,0.45,5,279,4,0,0,2025-05-02 12:05:41
43364,张丽娟,销售部,low,481000,0,0.69,0.55,4,127,3,0,0,2025-05-02 12:05:41
64810,尹雷,市场部,high,288000,0,0.82,0.4,3,259,4,1,0,2025-05-02 12:05:41
22833,麦琴,行政部,low,263000,0,0.9,0.6,3,103,8,0,0,2025-05-02 12:05:41
8393,陈萍,行政部,high,301000,0,0.72,0.95,3,148,0,0,0,2025-05-02 12:05:41
50636,屠桂香,市场部,low,258000,0,0.67,0.45,3,277,4,1,0,2025-05-02 12:05:41
12897,李宁,销售部,low,205000,0,0.69,0.5,0,139,0,1,0,2025-05-02 12:05:41
38126,商飞,销售部,low,291000,0,0.86,0.9,6,267,0,0,0,2025-05-02 12:05:41
3895,翟华,人力资源部,medium,305000,0,0.89,0.49,2,143,6,0,0,2025-05-02 12:05:41
9277,王想,销售部,medium,356000,0,0.82,0.99,2,272,5,0,0,2025-05-02 12:05:41
2088,张冬梅,行政部,low,332000,0,0.67,0.5,5,143,6,1,0,2025-05-02 12:05:41
74865,刘桂珍,市场部,low,138000,0,0.88,0.94,0,276,0,1,0,2025-05-02 12:05:41
35601,杨玉华,市场部,medium,368000,0,0.96,0.56,5,264,3,0,0,2025-05-02 12:05:41
22131,沈婷婷,销售部,low,270000,0,0.65,0.87,3,250,8,0,0,2025-05-02 12:05:41
98443,吴红梅,人力资源部,low,212000,0,0.32,0.88,2,263,2,0,1,2025-05-02 12:05:41
94134,高欣,销售部,medium,342000,0,0.85,0.94,2,124,2,0,0,2025-05-02 12:05:41
26873,袁秀珍,销售部,medium,297000,0,0.62,0.84,3,105,1,1,0,2025-05-02 12:05:41
4608,杨丽娟,研发部,low,184000,0,0.61,0.58,5,142,6,1,0,2025-05-02 12:05:41
45297,张娟,销售部,medium,480000,0,0.64,0.51,1,146,5,0,0,2025-05-02 12:05:41
80779,张健,行政部,medium,180000,0,0.89,0.95,4,260,6,0,0,2025-05-02 12:05:41
73916,王秀珍,销售部,low,221000,0,0.58,0.86,4,142,7,1,0,2025-05-02 12:05:41
36608,李淑英,研发部,low,182000,0,0.63,0.56,2,145,3,0,0,2025-05-02 12:05:41
43131,孙红梅,研发部,medium,288000,0,0.89,0.43,3,268,10,0,0,2025-05-02 12:05:41
42589,周桂荣,研发部,medium,182000,0,0.62,0.92,3,142,1,0,0,2025-05-02 12:05:41
27549,黄博,市场部,high,417000,0,0.48,0.96,4,116,2,0,0,2025-05-02 12:05:41
44534,杨燕,研发部,low,422000,0,0.78,0.44,1,113,4,0,0,2025-05-02 12:05:41
88657,王俊,行政部,low,154000,0,0.73,0.94,4,257,0,0,0,2025-05-02 12:05:41
19141,赵倩,人力资源部,high,150000,0,0.74,0.85,4,137,2,0,0,2025-05-02 12:05:41
70770,胡凯,人力资源部,medium,218000,0,0.71,0.49,4,266,7,0,0,2025-05-02 12:05:41
66255,萧凤英,市场部,low,165000,0,0.91,0.94,6,112,3,0,0,2025-05-02 12:05:41
34243,庞丹,研发部,medium,485000,0,0.83,0.52,3,276,5,0,0,2025-05-02 12:05:41
61599,李凤英,行政部,high,301000,0,0.51,0.98,5,124,0,0,0,2025-05-02 12:05:41
81500,马帆,行政部,medium,102000,0,0.95,0.81,1,123,9,0,0,2025-05-02 12:05:41
71595,马坤,销售部,medium,481000,0,0.77,0.42,5,111,4,0,0,2025-05-02 12:05:41
17080,沈鑫,销售部,low,171000,0,0.89,0.85,5,277,2,0,0,2025-05-02 12:05:41
33809,袁瑜,市场部,medium,263000,0,0.69,0.57,2,264,0,0,0,2025-05-02 12:05:41
83439,陈军,销售部,medium,398000,0,0.71,0.97,3,146,4,0,0,2025-05-02 12:05:41
72387,廖辉,研发部,low,496000,0,0.58,0.57,2,257,0,0,0,2025-05-02 12:05:41
73787,罗宁,销售部,medium,440000,0,0.76,0.54,2,273,4,0,0,2025-05-02 12:05:41
59009,王建平,行政部,low,88000,0,0.74,0.98,2,109,7,0,0,2025-05-02 12:05:41
23058,傅倩,销售部,medium,386000,0,0.68,0.99,3,131,10,1,0,2025-05-02 12:05:41
27429,林楠,销售部,medium,310000,0,0.9,0.91,5,267,4,0,0,2025-05-02 12:05:41
80571,邹辉,人力资源部,low,187000,0,0.69,0.8,3,266,5,0,0,2025-05-02 12:05:41
79897,周斌,法务部,medium,268000,0,0.69,0.43,3,272,1,0,0,2025-05-02 12:05:41
58330,周梅,人力资源部,medium,332000,0,0.79,0.94,3,105,2,0,0,2025-05-02 12:05:41
14922,高婷,研发部,low,517000,0,0.51,0.89,3,140,3,0,0,2025-05-02 12:05:41
73890,胡伟,销售部,high,400000,0,0.61,0.8,2,271,5,0,0,2025-05-02 12:05:41
4721,覃宁,市场部,medium,131000,0,0.61,0.55,4,270,4,0,0,2025-05-02 12:05:41
21705,蔡斌,人力资源部,low,321000,0,0.89,0.59,3,258,2,1,0,2025-05-02 12:05:41
82312,李玉梅,研发部,medium,525000,0,0.99,0.93,2,261,4,0,0,2025-05-02 12:05:41
51071,马玉珍,研发部,medium,219000,0,0.68,0.51,2,262,3,0,0,2025-05-02 12:05:41
38313,邓丽娟,销售部,low,259000,0,0.68,0.87,2,125,0,0,0,2025-05-02 12:05:41
77371,张成,销售部,low,375000,0,0.46,0.51,2,118,1,0,0,2025-05-02 12:05:41
38601,刘兰英,人力资源部,low,178000,0,0.97,0.54,3,112,3,0,0,2025-05-02 12:05:41
61880,周小红,市场部,low,402000,0,0.83,0.4,2,113,5,0,0,2025-05-02 12:05:41
58208,王俊,市场部,medium,380000,0,0.68,0.49,1,260,0,0,0,2025-05-02 12:05:41
7252,张金凤,行政部,low,210000,0,0.99,0.84,2,274,2,0,0,2025-05-02 12:05:41
78636,崔慧,销售部,low,273000,0,0.77,0.46,3,252,1,0,0,2025-05-02 12:05:41
62186,田梅,市场部,medium,440000,0,0.53,0.56,2,266,9,0,0,2025-05-02 12:05:41
4373,张琴,市场部,low,186000,0,0.56,0.53,5,265,5,1,0,2025-05-02 12:05:41
96063,夏欣,行政部,high,262000,0,0.59,0.86,3,106,0,0,0,2025-05-02 12:05:41
69103,王春梅,销售部,medium,492000,0,0.74,0.84,4,265,3,0,0,2025-05-02 12:05:41
97887,梁秀英,销售部,low,384000,0,0.96,0.56,2,117,2,0,0,2025-05-02 12:05:41
37519,孙英,市场部,low,169000,0,0.83,0.58,5,264,2,0,0,2025-05-02 12:05:41
84724,黄娜,法务部,medium,390000,0,0.82,0.88,6,116,2,0,0,2025-05-02 12:05:41
67481,许芳,研发部,medium,274000,0,0.59,0.48,2,261,5,0,0,2025-05-02 12:05:41
44705,张刚,市场部,low,440000,0,0.88,0.91,3,149,5,0,0,2025-05-02 12:05:41
56914,沈娜,市场部,low,227000,0,0.51,0.58,4,141,4,1,0,2025-05-02 12:05:41
54123,姚桂芝,市场部,low,192000,0,0.77,0.99,3,264,1,0,0,2025-05-02 12:05:41
33541,周雪,市场部,low,341000,0,0.83,0.9,3,134,3,1,0,2025-05-02 12:05:41
68262,黄建平,研发部,low,197000,0,0.71,0.47,4,102,8,1,0,2025-05-02 12:05:41
90213,贾琳,人力资源部,low,278000,0,0.71,0.47,3,255,0,0,0,2025-05-02 12:05:41
13911,蒋丽华,市场部,low,347000,0,0.54,0.46,3,141,5,0,0,2025-05-02 12:05:41
55065,赵金凤,研发部,medium,232000,0,0.8,0.85,5,280,4,1,0,2025-05-02 12:05:41
21990,张桂香,研发部,medium,473000,0,0.88,0.98,4,122,1,1,0,2025-05-02 12:05:41
38084,牛兵,市场部,low,337000,0,0.52,0.89,0,139,2,0,0,2025-05-02 12:05:41
24575,朱林,销售部,medium,425000,0,0.82,0.44,4,265,8,0,0,2025-05-02 12:05:41
40513,魏丹,销售部,high,485000,0,0.96,0.81,3,128,4,0,0,2025-05-02 12:05:41
27195,杨阳,人力资源部,low,225000,0,0.66,0.91,2,146,2,1,0,2025-05-02 12:05:41
72891,郝桂荣,市场部,low,372000,0,0.43,0.84,5,277,4,0,0,2025-05-02 12:05:41
94464,张建华,研发部,high,211000,0,0.91,0.94,4,250,1,0,0,2025-05-02 12:05:41
74850,张健,法务部,medium,231000,0,0.68,0.91,3,266,3,0,1,2025-05-02 12:05:41
78148,孙慧,市场部,medium,123000,0,0.8,0.53,3,99,4,0,0,2025-05-02 12:05:41
45848,廖坤,人力资源部,low,266000,0,0.57,0.92,1,137,0,0,0,2025-05-02 12:05:41
82874,张娟,市场部,high,433000,0,0.3,0.89,2,254,10,0,0,2025-05-02 12:05:41
8023,李斌,研发部,low,487000,0,0.64,0.52,4,143,10,0,0,2025-05-02 12:05:41
30793,赵伟,人力资源部,low,315000,0,0.78,0.88,4,261,4,0,0,2025-05-02 12:05:41
63940,熊雷,人力资源部,high,348000,0,0.71,0.91,5,125,2,0,0,2025-05-02 12:05:41
15891,周飞,销售部,high,267000,0,0.9,0.97,3,252,4,0,0,2025-05-02 12:05:41
31581,黄秀华,市场部,low,249000,0,0.82,0.41,6,116,10,0,0,2025-05-02 12:05:41
69782,阎成,销售部,medium,483000,0,0.47,0.56,1,102,6,0,0,2025-05-02 12:05:41
73123,杨秀芳,行政部,medium,154000,0,0.64,0.46,7,278,0,0,0,2025-05-02 12:05:41
87574,李军,研发部,low,405000,0,0.38,0.55,3,274,7,1,0,2025-05-02 12:05:41
18807,陈涛,行政部,low,195000,0,0.64,0.6,6,255,0,0,0,2025-05-02 12:05:41
5574,张平,销售部,low,396000,0,0.92,0.44,4,143,4,1,0,2025-05-02 12:05:41
32329,张荣,研发部,high,373000,0,0.64,0.48,1,131,5,0,0,2025-05-02 12:05:41
35479,张超,法务部,medium,411000,0,0.45,0.81,3,142,4,0,0,2025-05-02 12:05:41
41746,刘莉,市场部,medium,173000,0,0.51,0.52,0,264,1,1,0,2025-05-02 12:05:41
35612,李雪梅,研发部,medium,407000,0,0.69,0.56,3,116,5,1,0,2025-05-02 12:05:41
16477,蔡俊,行政部,low,88000,0,0.68,0.59,3,127,1,0,0,2025-05-02 12:05:41
58432,董莹,研发部,medium,431000,0,0.79,0.59,3,117,3,0,0,2025-05-02 12:05:41
24471,施俊,销售部,low,180000,0,0.27,0.97,5,269,5,0,0,2025-05-02 12:05:41
67825,王兰英,研发部,low,581000,0,0.91,0.52,2,108,2,0,0,2025-05-02 12:05:41
20386,王欣,市场部,medium,261000,0,0.88,0.95,4,263,0,0,0,2025-05-02 12:05:41
89091,史桂珍,研发部,low,364000,0,0.97,0.47,5,250,4,0,0,2025-05-02 12:05:41
67218,潘瑞,市场部,medium,178000,0,0.66,0.54,1,133,10,0,0,2025-05-02 12:05:41
31228,吕玲,行政部,medium,220000,0,0.83,0.92,4,267,1,0,0,2025-05-02 12:05:41
15307,吴丽华,研发部,low,437000,0,0.78,0.51,4,105,7,0,0,2025-05-02 12:05:41
14082,刘萍,研发部,high,217000,0,0.67,0.5,5,138,6,0,0,2025-05-02 12:05:41
75041,王瑞,销售部,low,239000,0,0.45,0.5,6,256,2,0,0,2025-05-02 12:05:41
51001,郑秀兰,销售部,medium,300000,0,0.69,0.89,3,122,5,0,0,2025-05-02 12:05:41
92664,黄林,研发部,low,487000,0,0.57,0.46,4,267,3,0,0,2025-05-02 12:05:41
97761,蔡亮,销售部,low,271000,0,0.77,0.52,0,258,4,0,0,2025-05-02 12:05:41
55223,丁岩,销售部,high,308000,0,0.78,0.45,2,112,4,0,0,2025-05-02 12:05:41
7013,郭淑珍,人力资源部,low,257000,0,0.64,0.85,3,128,10,0,0,2025-05-02 12:05:41
21346,邓秀荣,研发部,low,377000,0,0.94,0.93,5,140,10,0,0,2025-05-02 12:05:41
64962,李丽娟,销售部,medium,264000,0,0.56,0.47,4,138,6,0,0,2025-05-02 12:05:41
66108,余敏,市场部,medium,449000,0,0.79,0.91,4,146,0,0,0,2025-05-02 12:05:41
56170,魏志强,行政部,low,158000,0,0.71,0.86,5,98,3,0,0,2025-05-02 12:05:41
25281,王秀英,人力资源部,medium,285000,0,0.79,0.98,5,270,5,0,0,2025-05-02 12:05:41
1841,唐荣,市场部,low,423000,0,0.75,0.88,4,263,6,0,0,2025-05-02 12:05:41
34060,张桂英,研发部,medium,436000,0,0.69,0.9,0,277,2,0,0,2025-05-02 12:05:41
27495,沈淑兰,市场部,high,236000,0,0.62,0.85,3,141,2,0,0,2025-05-02 12:05:41
79122,张秀兰,法务部,high,301000,0,0.62,1.0,1,258,2,0,0,2025-05-02 12:05:41
37106,秦淑英,销售部,low,479000,0,0.77,0.52,3,274,2,0,0,2025-05-02 12:05:41
26932,王文,销售部,low,319000,0,0.86,0.4,5,129,1,1,0,2025-05-02 12:05:41
82930,江玉兰,行政部,low,344000,0,0.57,0.45,3,96,3,0,0,2025-05-02 12:05:41
48251,马璐,行政部,low,118000,0,0.59,0.47,3,253,1,0,0,2025-05-02 12:05:41
93591,郭明,销售部,low,420000,0,0.89,0.6,5,111,2,0,0,2025-05-02 12:05:41
9168,陈兵,研发部,medium,441000,0,0.81,0.56,4,125,6,1,0,2025-05-02 12:05:41
46268,张建,研发部,medium,289000,0,0.6,0.87,0,256,6,0,0,2025-05-02 12:05:41
9846,李建平,销售部,medium,457000,0,0.41,0.92,1,97,10,0,0,2025-05-02 12:05:41
12772,高成,销售部,medium,375000,0,0.6,0.97,3,250,2,0,0,2025-05-02 12:05:41
59425,张慧,市场部,low,298000,0,0.74,0.84,3,139,1,1,0,2025-05-02 12:05:41
15152,卢岩,人力资源部,medium,264000,0,0.95,0.53,4,100,1,0,0,2025-05-02 12:05:41
55442,贺玉英,销售部,medium,261000,0,0.7,0.89,2,275,3,0,0,2025-05-02 12:05:41
51544,吴雪,人力资源部,low,114000,0,0.9,0.82,1,112,5,1,0,2025-05-02 12:05:41
10879,关杨,研发部,medium,280000,0,0.7,0.86,3,116,0,0,0,2025-05-02 12:05:41
81094,梁伟,市场部,medium,180000,0,0.74,0.89,6,127,9,1,0,2025-05-02 12:05:41
20053,袁波,销售部,medium,275000,0,0.59,0.98,1,273,2,0,0,2025-05-02 12:05:41
24166,王玉兰,行政部,medium,164000,0,0.78,0.92,2,142,1,0,0,2025-05-02 12:05:41
77818,周平,人力资源部,medium,196000,0,0.43,0.46,3,254,10,1,0,2025-05-02 12:05:41
9953,汪佳,销售部,medium,468000,0,0.79,0.93,3,136,3,0,0,2025-05-02 12:05:41
21296,龙博,研发部,low,279000,0,0.53,1.0,2,98,7,0,0,2025-05-02 12:05:41
57641,褚娟,销售部,medium,474000,0,0.75,0.96,2,150,3,0,0,2025-05-02 12:05:41
65699,周桂芳,销售部,low,313000,0,0.7,0.58,2,102,2,0,0,2025-05-02 12:05:41
93185,高建国,行政部,medium,267000,0,0.92,0.45,3,107,2,0,0,2025-05-02 12:05:41
95771,王燕,销售部,low,313000,0,0.68,0.4,2,280,0,1,0,2025-05-02 12:05:41
83321,葛想,研发部,low,540000,0,0.84,0.43,3,264,3,0,0,2025-05-02 12:05:41
55509,马帆,人力资源部,high,279000,0,0.93,0.83,3,276,2,0,0,2025-05-02 12:05:41
73328,贺凯,研发部,medium,589000,0,0.56,0.54,3,252,1,0,0,2025-05-02 12:05:41
58198,马柳,市场部,low,169000,0,0.9,0.54,2,116,2,0,0,2025-05-02 12:05:41
45832,王金凤,市场部,medium,130000,0,0.91,0.81,4,125,5,0,0,2025-05-02 12:05:41
40748,陈燕,销售部,high,156000,0,0.61,0.92,3,133,3,0,0,2025-05-02 12:05:41
37537,田欢,研发部,medium,547000,0,0.73,0.57,2,150,1,0,0,2025-05-02 12:05:41
20106,王凤英,市场部,low,381000,0,0.63,0.98,5,279,1,0,0,2025-05-02 12:05:41
16418,张柳,销售部,medium,484000,0,0.73,0.89,4,271,7,0,0,2025-05-02 12:05:41
99089,冯雷,市场部,high,146000,0,0.8,0.5,5,114,2,1,0,2025-05-02 12:05:41
54280,宋婷婷,市场部,low,294000,0,0.48,0.81,6,264,5,0,0,2025-05-02 12:05:41
28329,张鑫,销售部,medium,362000,0,0.86,0.49,5,253,2,1,0,2025-05-02 12:05:41
88956,董燕,销售部,low,362000,0,0.59,0.5,1,108,2,1,0,2025-05-02 12:05:41
64740,范欢,研发部,medium,290000,0,0.7,0.46,5,125,6,0,0,2025-05-02 12:05:41
43249,刘淑兰,研发部,medium,275000,0,0.7,0.58,3,273,3,0,0,2025-05-02 12:05:41
12706,刘利,行政部,medium,225000,0,0.73,0.54,2,278,2,0,0,2025-05-02 12:05:41
9339,张淑珍,研发部,low,289000,0,0.75,0.84,3,149,0,1,0,2025-05-02 12:05:41
52714,欧琴,法务部,medium,494000,0,0.49,0.51,2,113,4,0,0,2025-05-02 12:05:41
55781,刘梅,市场部,medium,163000,0,0.44,0.52,4,258,7,0,0,2025-05-02 12:05:41
79124,骆慧,市场部,medium,338000,0,0.39,0.52,3,263,5,0,0,2025-05-02 12:05:41
46110,邓丽娟,研发部,low,462000,0,0.81,0.49,3,120,6,0,0,2025-05-02 12:05:41
51840,张玲,市场部,low,252000,0,0.65,0.91,3,150,3,0,0,2025-05-02 12:05:41
15897,饶淑珍,研发部,medium,315000,0,0.9,0.45,3,257,5,0,0,2025-05-02 12:05:41
62296,李桂珍,销售部,high,301000,0,0.82,0.81,3,263,8,0,0,2025-05-02 12:05:41
97056,吴明,销售部,medium,174000,0,0.6,0.55,4,136,4,0,0,2025-05-02 12:05:41
8960,杨丽娟,销售部,low,455000,0,0.81,0.5,4,259,3,0,0,2025-05-02 12:05:41
33732,董阳,销售部,low,240000,0,0.71,0.97,5,272,5,0,0,2025-05-02 12:05:41
8598,薛桂珍,研发部,low,303000,0,0.91,0.51,2,252,1,0,0,2025-05-02 12:05:41
78756,李海燕,市场部,medium,414000,0,0.8,0.55,4,111,0,0,0,2025-05-02 12:05:41
97152,杨坤,销售部,medium,228000,0,0.95,0.57,3,261,3,0,0,2025-05-02 12:05:41
74726,刘秀英,销售部,low,157000,0,0.5,0.9,3,278,3,0,0,2025-05-02 12:05:41
35304,钟娜,研发部,low,577000,0,0.49,0.86,5,138,5,0,0,2025-05-02 12:05:41
71449,涂霞,研发部,low,553000,0,0.9,0.42,4,254,3,0,0,2025-05-02 12:05:41
9262,李倩,法务部,medium,481000,0,0.8,0.57,3,105,0,0,0,2025-05-02 12:05:41
17348,任强,研发部,low,212000,0,0.71,0.46,1,268,1,0,0,2025-05-02 12:05:41
76231,许晶,人力资源部,medium,147000,0,0.91,0.42,4,130,5,0,0,2025-05-02 12:05:41
8408,尹玲,销售部,medium,414000,0,0.9,0.57,2,266,1,0,0,2025-05-02 12:05:41
72008,陈亮,人力资源部,low,346000,0,0.93,0.98,3,261,5,1,0,2025-05-02 12:05:41
38258,王燕,法务部,low,162000,0,0.44,0.51,2,144,4,0,0,2025-05-02 12:05:41
98494,张秀兰,法务部,medium,248000,0,0.77,0.87,3,99,3,0,0,2025-05-02 12:05:41
37515,周玲,研发部,low,435000,0,0.75,0.52,4,107,5,1,0,2025-05-02 12:05:41
85529,张勇,销售部,low,337000,0,0.81,0.5,2,264,2,0,0,2025-05-02 12:05:41
89125,徐晨,研发部,high,345000,0,0.9,0.54,5,143,3,0,0,2025-05-02 12:05:41
39378,雷丽丽,市场部,medium,345000,0,0.34,0.59,5,252,4,0,0,2025-05-02 12:05:41
37344,温玉梅,市场部,medium,180000,0,0.5,0.81,5,278,2,0,0,2025-05-02 12:05:41
24946,吴桂芳,销售部,medium,400000,0,0.77,0.51,4,265,4,0,0,2025-05-02 12:05:41
40391,朱玉珍,研发部,low,407000,0,0.93,0.9,4,262,5,0,0,2025-05-02 12:05:41
85432,梁坤,研发部,low,233000,0,0.48,0.81,0,111,3,0,0,2025-05-02 12:05:41
77904,李璐,销售部,low,306000,0,0.71,0.91,2,119,5,0,1,2025-05-02 12:05:41
20243,王杨,研发部,medium,565000,0,0.98,0.57,3,120,0,0,0,2025-05-02 12:05:41
40526,魏婷婷,行政部,low,128000,0,0.54,0.46,2,99,2,1,0,2025-05-02 12:05:41
30095,张梅,销售部,high,208000,0,0.66,0.86,5,128,1,0,0,2025-05-02 12:05:41
41981,郑亮,市场部,low,270000,0,0.7,0.82,5,102,4,0,0,2025-05-02 12:05:41
46024,王建平,行政部,medium,266000,0,0.78,0.48,2,273,2,0,0,2025-05-02 12:05:41
4952,宗玉,销售部,high,363000,0,0.51,0.8,2,96,2,1,0,2025-05-02 12:05:41
61576,黄波,研发部,medium,475000,0,0.5,0.52,5,104,2,0,0,2025-05-02 12:05:41
79837,陈淑兰,人力资源部,medium,138000,0,0.74,0.47,4,139,4,0,0,2025-05-02 12:05:41
45255,林娜,人力资源部,high,347000,0,0.92,0.84,3,122,10,0,0,2025-05-02 12:05:41
92745,邓冬梅,人力资源部,medium,283000,0,0.63,0.52,0,135,2,0,0,2025-05-02 12:05:41
43262,吴浩,销售部,low,227000,0,0.6,0.45,3,97,4,0,0,2025-05-02 12:05:41
77846,刘想,市场部,medium,413000,0,0.94,0.45,3,259,3,0,0,2025-05-02 12:05:41
86603,许秀英,市场部,low,228000,0,0.53,0.83,0,115,4,0,0,2025-05-02 12:05:41
18582,施文,行政部,low,340000,0,0.71,0.41,4,250,5,0,0,2025-05-02 12:05:41
81675,李春梅,法务部,medium,306000,0,0.48,0.49,3,254,3,0,0,2025-05-02 12:05:41
44606,李斌,销售部,medium,246000,0,0.85,0.48,3,273,1,0,0,2025-05-02 12:05:41
27551,陈宇,人力资源部,medium,383000,0,0.51,0.45,4,259,5,0,0,2025-05-02 12:05:41
46502,王颖,法务部,medium,299000,0,0.94,0.96,3,121,1,0,0,2025-05-02 12:05:41
59282,黄莉,人力资源部,medium,144000,0,0.69,0.98,3,133,1,0,0,2025-05-02 12:05:41
83890,赵娟,研发部,low,362000,0,0.54,0.51,4,259,2,0,0,2025-05-02 12:05:41
28185,王玉兰,市场部,low,156000,0,0.87,0.46,1,112,5,0,1,2025-05-02 12:05:41
80038,李兵,人力资源部,low,217000,0,0.87,0.99,4,127,0,0,0,2025-05-02 12:05:41
66459,林俊,市场部,low,440000,0,0.86,0.98,3,252,4,0,0,2025-05-02 12:05:41
88725,温静,销售部,low,257000,0,0.87,0.91,5,147,0,0,0,2025-05-02 12:05:41
58140,陈雪梅,销售部,medium,234000,0,0.68,0.93,6,115,3,0,0,2025-05-02 12:05:41
